Date,Price
2021-01-04,6835.0
2021-01-05,7090.0
2021-01-06,6945.0
2021-01-07,6965.0
2021-01-08,7050.0
2021-01-11,7345.0
2021-01-12,7160.0
2021-01-13,7120.0
2021-01-14,7020.0
2021-01-15,6955.0
2021-01-18,7120.0
2021-01-19,7095.0
2021-01-20,7095.0
2021-01-21,7075.0
2021-01-22,7080.0
2021-01-25,7035.0
2021-01-26,6820.0
2021-01-27,6790.0
2021-01-28,6900.0
2021-01-29,6760.0
2021-02-01,6820.0
2021-02-02,6800.0
2021-02-03,6825.0
2021-02-04,6855.0
2021-02-05,6915.0
2021-02-08,6920.0
2021-02-09,6980.0
2021-02-10,6920.0
2021-02-11,6880.0
2021-02-15,6800.0
2021-02-16,6940.0
2021-02-17,6900.0
2021-02-18,6735.0
2021-02-19,6825.0
2021-02-22,6790.0
2021-02-23,6825.0
2021-02-24,6725.0
2021-02-25,6705.0
2021-02-26,6710.0
2021-03-01,7045.0
2021-03-02,7015.0
2021-03-03,7000.0
2021-03-04,6720.0
2021-03-05,6800.0
2021-03-08,6720.0
2021-03-09,6605.0
2021-03-10,6705.0
2021-03-12,6765.0
2021-03-15,6665.0
2021-03-16,6625.0
2021-03-17,6610.0
2021-03-18,6705.0
2021-03-19,6760.0
2021-03-22,6620.0
2021-03-23,6565.0
2021-03-24,6440.0
2021-03-25,6370.0
2021-03-26,6415.0
2021-03-29,6360.0
2021-03-30,6395.0
2021-03-31,6215.0
2021-04-01,6225.0
2021-04-05,6155.0
2021-04-06,6165.0
2021-04-07,6250.0
2021-04-08,6135.0
2021-04-09,6200.0
2021-04-12,6065.0
2021-04-13,6000.0
2021-04-14,6305.0
2021-04-15,6280.0
2021-04-16,6275.0
2021-04-19,6270.0
2021-04-20,6235.0
2021-04-21,6165.0
2021-04-22,6215.0
2021-04-23,6390.0
2021-04-26,6285.0
2021-04-27,6405.0
2021-04-28,6320.0
2021-04-29,6410.0
2021-04-30,6405.0
2021-05-03,6390.0
2021-05-04,6400.0
2021-05-05,6425.0
2021-05-06,6425.0
2021-05-07,6400.0
2021-05-10,6420.0
2021-05-11,6480.0
2021-05-17,6500.0
2021-05-18,6390.0
2021-05-19,6345.0
2021-05-20,6380.0
2021-05-21,6360.0
2021-05-24,6325.0
2021-05-25,6355.0
2021-05-27,6270.0
2021-05-28,6340.0
2021-05-31,6375.0
2021-06-02,6465.0
2021-06-03,6600.0
2021-06-04,6580.0
2021-06-07,6530.0
2021-06-08,6430.0
2021-06-09,6530.0
2021-06-10,6620.0
2021-06-11,6470.0
2021-06-14,6410.0
2021-06-15,6470.0
2021-06-16,6385.0
2021-06-17,6330.0
2021-06-18,6325.0
2021-06-21,6250.0
2021-06-22,6340.0
2021-06-23,6230.0
2021-06-24,6210.0
2021-06-25,6190.0
2021-06-28,6055.0
2021-06-29,6045.0
2021-06-30,6025.0
2021-07-01,6025.0
2021-07-02,6100.0
2021-07-05,6110.0
2021-07-06,6055.0
2021-07-07,6065.0
2021-07-08,6015.0
2021-07-09,6020.0
2021-07-12,6170.0
2021-07-13,6045.0
2021-07-14,5990.0
2021-07-15,6115.0
2021-07-16,6110.0
2021-07-19,6005.0
2021-07-21,6010.0
2021-07-22,6155.0
2021-07-23,6035.0
2021-07-26,6005.0
2021-07-27,6005.0
2021-07-28,5980.0
2021-07-29,6040.0
2021-07-30,5970.0
2021-08-02,5960.0
2021-08-03,6145.0
2021-08-04,6120.0
2021-08-05,6300.0
2021-08-06,6160.0
2021-08-09,6200.0
2021-08-10,6300.0
2021-08-12,6300.0
2021-08-13,6410.0
2021-08-16,6420.0
2021-08-18,6600.0
2021-08-19,6600.0
2021-08-20,6600.0
2021-08-23,6590.0
2021-08-24,6600.0
2021-08-25,6600.0
2021-08-26,6560.0
2021-08-27,6510.0
2021-08-30,6565.0
2021-08-31,6550.0
2021-09-01,6565.0
2021-09-02,6540.0
2021-09-03,6600.0
2021-09-06,6575.0
2021-09-07,6570.0
2021-09-08,6440.0
2021-09-09,6570.0
2021-09-10,6520.0
2021-09-13,6555.0
2021-09-14,6545.0
2021-09-15,6495.0
2021-09-16,6500.0
2021-09-17,6520.0
2021-09-20,6585.0
2021-09-21,6490.0
2021-09-22,6555.0
2021-09-23,6580.0
2021-09-24,6585.0
2021-09-27,6580.0
2021-09-28,6520.0
2021-09-29,6580.0
2021-09-30,7000.0
2021-10-01,6760.0
2021-10-04,6960.0
2021-10-05,6945.0
2021-10-06,7180.0
2021-10-07,7160.0
2021-10-08,7290.0
2021-10-11,7255.0
2021-10-12,7320.0
2021-10-13,7525.0
2021-10-14,7750.0
2021-10-15,7650.0
2021-10-18,7525.0
2021-10-19,7500.0
2021-10-21,7400.0
2021-10-22,7525.0
2021-10-25,7525.0
2021-10-26,7525.0
2021-10-27,7450.0
2021-10-28,7375.0
2021-10-29,7475.0
2021-11-01,7400.0
2021-11-02,7300.0
2021-11-03,7350.0
2021-11-04,7375.0
2021-11-05,7450.0
2021-11-08,7575.0
2021-11-09,7675.0
2021-11-10,7650.0
2021-11-11,7675.0
2021-11-12,7525.0
2021-11-15,7500.0
2021-11-16,7475.0
2021-11-17,7575.0
2021-11-18,7400.0
2021-11-19,7425.0
2021-11-22,7475.0
2021-11-23,7475.0
2021-11-24,7475.0
2021-11-25,7425.0
2021-11-26,7275.0
2021-11-29,7400.0
2021-11-30,7275.0
2021-12-01,7300.0
2021-12-02,7500.0
2021-12-03,7375.0
2021-12-06,7350.0
2021-12-07,7350.0
2021-12-08,7425.0
2021-12-09,7350.0
2021-12-10,7375.0
2021-12-13,7300.0
2021-12-14,7300.0
2021-12-15,7300.0
2021-12-16,7275.0
2021-12-17,7500.0
2021-12-20,7375.0
2021-12-21,7375.0
2021-12-22,7325.0
2021-12-23,7300.0
2021-12-24,7300.0
2021-12-27,7350.0
2021-12-28,7350.0
2021-12-29,7300.0
2021-12-30,7300.0
2022-01-03,7325.0
2022-01-04,7400.0
2022-01-05,7450.0
2022-01-06,7475.0
2022-01-07,7650.0
2022-01-10,7600.0
2022-01-11,7700.0
2022-01-12,7700.0
2022-01-13,7700.0
2022-01-14,7850.0
2022-01-17,7750.0
2022-01-18,7675.0
2022-01-19,7675.0
2022-01-20,7775.0
2022-01-21,7950.0
2022-01-24,7800.0
2022-01-25,7775.0
2022-01-26,7700.0
2022-01-27,7800.0
2022-01-28,7775.0
2022-01-31,7625.0
2022-02-02,7800.0
2022-02-03,7725.0
2022-02-04,7725.0
2022-02-07,7800.0
2022-02-08,7725.0
2022-02-09,7950.0
2022-02-10,7750.0
2022-02-11,7825.0
2022-02-14,7700.0
2022-02-15,7875.0
2022-02-16,7975.0
2022-02-17,7900.0
2022-02-18,7925.0
2022-02-21,7950.0
2022-02-22,7900.0
2022-02-23,8050.0
2022-02-24,8000.0
2022-02-25,8050.0
2022-03-01,8050.0
2022-03-02,7975.0
2022-03-04,7900.0
2022-03-07,7700.0
2022-03-08,7650.0
2022-03-09,7850.0
2022-03-10,7925.0
2022-03-11,7950.0
2022-03-14,8075.0
2022-03-15,8150.0
2022-03-16,8200.0
2022-03-17,8000.0
2022-03-18,7900.0
2022-03-21,7900.0
2022-03-22,7925.0
2022-03-23,7900.0
2022-03-24,7925.0
2022-03-25,7950.0
2022-03-28,7900.0
2022-03-29,7850.0
2022-03-30,7875.0
2022-03-31,7975.0
2022-04-01,7925.0
2022-04-04,7900.0
2022-04-05,7900.0
2022-04-06,7750.0
2022-04-07,7750.0
2022-04-08,7850.0
2022-04-11,7725.0
2022-04-12,7800.0
2022-04-13,7800.0
2022-04-14,7700.0
2022-04-18,7700.0
2022-04-19,7625.0
2022-04-20,7650.0
2022-04-21,7925.0
2022-04-22,7875.0
2022-04-25,8000.0
2022-04-26,8125.0
2022-04-27,8200.0
2022-04-28,8125.0
2022-05-09,7600.0
2022-05-10,7525.0
2022-05-11,7650.0
2022-05-12,7275.0
2022-05-13,7325.0
2022-05-17,7400.0
2022-05-18,7575.0
2022-05-19,7450.0
2022-05-20,7400.0
2022-05-23,7375.0
2022-05-24,7350.0
2022-05-25,7375.0
2022-05-27,7575.0
2022-05-30,7575.0
2022-05-31,7750.0
2022-06-02,7575.0
2022-06-03,7600.0
2022-06-06,7450.0
2022-06-07,7375.0
2022-06-08,7600.0
2022-06-09,7500.0
2022-06-10,7350.0
2022-06-13,7350.0
2022-06-14,7400.0
2022-06-15,7325.0
2022-06-16,7575.0
2022-06-17,7500.0
2022-06-20,7625.0
2022-06-21,7650.0
2022-06-22,7500.0
2022-06-23,7525.0
2022-06-24,7475.0
2022-06-27,7350.0
2022-06-28,7300.0
2022-06-29,7275.0
2022-06-30,7250.0
2022-07-01,7250.0
2022-07-04,7050.0
2022-07-05,7250.0
2022-07-06,7300.0
2022-07-07,7100.0
2022-07-08,7150.0
2022-07-11,7125.0
2022-07-12,7175.0
2022-07-13,7000.0
2022-07-14,7025.0
2022-07-15,7000.0
2022-07-18,7150.0
2022-07-19,7175.0
2022-07-20,7400.0
2022-07-21,7400.0
2022-07-22,7325.0
2022-07-25,7300.0
2022-07-26,7300.0
2022-07-27,7325.0
2022-07-28,7350.0
2022-07-29,7350.0
2022-08-01,7500.0
2022-08-02,7600.0
2022-08-03,7625.0
2022-08-04,7800.0
2022-08-05,7875.0
2022-08-08,7875.0
2022-08-09,7900.0
2022-08-10,7900.0
2022-08-11,7950.0
2022-08-12,7925.0
2022-08-15,7950.0
2022-08-16,7975.0
2022-08-18,8000.0
2022-08-19,7900.0
2022-08-22,8000.0
2022-08-23,7900.0
2022-08-24,7950.0
2022-08-25,8075.0
2022-08-26,8000.0
2022-08-29,8150.0
2022-08-30,8175.0
2022-08-31,8200.0
2022-09-01,8150.0
2022-09-02,8225.0
2022-09-05,8275.0
2022-09-06,8275.0
2022-09-07,8375.0
2022-09-08,8350.0
2022-09-09,8375.0
2022-09-12,8375.0
2022-09-13,8525.0
2022-09-14,8500.0
2022-09-15,8750.0
2022-09-16,8450.0
2022-09-19,8650.0
2022-09-20,8550.0
2022-09-21,8475.0
2022-09-22,8475.0
2022-09-23,8375.0
2022-09-26,8425.0
2022-09-27,8300.0
2022-09-28,8325.0
2022-09-29,8375.0
2022-09-30,8550.0
2022-10-03,8500.0
2022-10-04,8550.0
2022-10-05,8450.0
2022-10-06,8425.0
2022-10-07,8200.0
2022-10-10,8300.0
2022-10-11,8250.0
2022-10-12,8325.0
2022-10-13,8275.0
2022-10-14,8250.0
2022-10-17,8250.0
2022-10-18,8300.0
2022-10-19,8275.0
2022-10-20,8500.0
2022-10-21,8650.0
2022-10-24,8900.0
2022-10-25,8700.0
2022-10-26,8550.0
2022-10-27,8700.0
2022-10-28,8750.0
2022-10-31,8800.0
2022-11-01,8800.0
2022-11-02,8750.0
2022-11-03,8800.0
2022-11-04,8775.0
2022-11-07,8850.0
2022-11-08,8750.0
2022-11-09,8875.0
2022-11-10,8800.0
2022-11-11,8850.0
2022-11-14,8750.0
2022-11-15,8800.0
2022-11-16,8600.0
2022-11-17,8725.0
2022-11-18,8825.0
2022-11-21,8725.0
2022-11-22,8900.0
2022-11-23,8875.0
2022-11-24,9000.0
2022-11-25,8975.0
2022-11-28,9025.0
2022-11-29,8975.0
2022-11-30,9300.0
2022-12-01,9000.0
2022-12-02,8900.0
2022-12-05,8775.0
2022-12-06,8675.0
2022-12-07,8450.0
2022-12-08,8500.0
2022-12-09,8575.0
2022-12-12,8700.0
2022-12-13,8700.0
2022-12-14,8625.0
2022-12-15,8500.0
2022-12-16,8600.0
2022-12-19,8650.0
2022-12-20,8575.0
2022-12-21,8675.0
2022-12-22,8575.0
2022-12-23,8500.0
2022-12-26,8575.0
2022-12-27,8600.0
2022-12-28,8650.0
2022-12-29,8575.0
2022-12-30,8550.0
2023-01-02,8550.0
2023-01-03,8550.0
2023-01-04,8350.0
2023-01-05,8250.0
2023-01-06,8300.0
2023-01-09,8450.0
2023-01-10,8175.0
2023-01-11,8125.0
2023-01-12,8175.0
2023-01-13,8050.0
2023-01-16,8150.0
2023-01-17,8325.0
2023-01-18,8300.0
2023-01-19,8325.0
2023-01-20,8300.0
2023-01-24,8225.0
2023-01-25,8200.0
2023-01-26,8475.0
2023-01-27,8700.0
2023-01-30,8700.0
2023-01-31,8475.0
2023-02-01,8500.0
2023-02-02,8450.0
2023-02-03,8700.0
2023-02-06,8725.0
2023-02-07,8850.0
2023-02-08,8825.0
2023-02-09,8900.0
2023-02-10,8825.0
2023-02-13,8875.0
2023-02-14,8950.0
2023-02-15,8875.0
2023-02-16,8700.0
2023-02-17,8725.0
2023-02-20,8750.0
2023-02-21,8700.0
2023-02-22,8675.0
2023-02-23,8725.0
2023-02-24,8675.0
2023-02-27,8775.0
2023-02-28,8750.0
2023-03-01,8600.0
2023-03-02,8625.0
2023-03-03,8475.0
2023-03-06,8400.0
2023-03-07,8425.0
2023-03-08,8575.0
2023-03-09,8575.0
2023-03-10,8450.0
2023-03-13,8550.0
2023-03-14,8325.0
2023-03-15,8325.0
2023-03-16,8300.0
2023-03-17,8375.0
2023-03-20,8400.0
2023-03-21,8500.0
2023-03-24,8825.0
2023-03-27,8700.0
2023-03-28,8675.0
2023-03-29,8800.0
2023-03-30,8825.0
2023-03-31,8750.0
2023-04-03,8800.0
2023-04-04,8775.0
2023-04-05,8725.0
2023-04-06,8750.0
2023-04-10,8800.0
2023-04-11,8825.0
2023-04-12,8900.0
2023-04-13,8925.0
2023-04-14,9000.0
2023-04-17,9025.0
2023-04-18,9125.0
2023-04-26,9200.0
2023-04-27,9150.0
2023-04-28,9050.0
2023-05-02,9050.0
2023-05-03,8925.0
2023-05-04,9000.0
2023-05-05,9000.0
2023-05-08,9000.0
2023-05-09,8925.0
2023-05-10,8925.0
