Date,Price,Return
2021-07-16,6110.0,-0.0008179959556316
2021-07-19,6005.0,-0.0173343176515571
2021-07-21,6010.0,0.0008322930151693
2021-07-22,6155.0,0.0238400110893006
2021-07-23,6035.0,-0.019688905086922
2021-07-26,6005.0,-0.0049833990175479
2021-07-27,6005.0,0.0
2021-07-28,5980.0,-0.0041718875694064
2021-07-29,6040.0,0.0099834439841832
2021-07-30,5970.0,-0.0116570845422128
2021-08-02,5960.0,-0.0016764463272523
2021-08-03,6145.0,0.0305682619407396
2021-08-04,6120.0,-0.0040766464937633
2021-08-05,6300.0,0.0289875368732521
2021-08-06,6160.0,-0.0224728558520586
2021-08-09,6200.0,0.0064725145056175
2021-08-10,6300.0,0.0160003413464411
2021-08-12,6300.0,0.0
2021-08-13,6410.0,0.0173096375350916
2021-08-16,6420.0,0.001558846769291
2021-08-18,6600.0,0.0276515313305099
2021-08-19,6600.0,0.0
2021-08-20,6600.0,0.0
2021-08-23,6590.0,-0.0015163005179639
2021-08-24,6600.0,0.001516300517964
2021-08-25,6600.0,0.0
2021-08-26,6560.0,-0.0060790460763822
2021-08-27,6510.0,-0.0076511467355197
2021-08-30,6565.0,0.0084130515342816
2021-08-31,6550.0,-0.0022874581075989
2021-09-01,6565.0,0.002287458107599
2021-09-02,6540.0,-0.0038153422856522
2021-09-03,6600.0,0.0091324835632724
2021-09-06,6575.0,-0.0037950709685516
2021-09-07,6570.0,-0.0007607455673091
2021-09-08,6440.0,-0.0199852923802569
2021-09-09,6570.0,0.0199852923802568
2021-09-10,6520.0,-0.0076394565579576
2021-09-13,6555.0,0.0053537412771016
2021-09-14,6545.0,-0.0015267178537999
2021-09-15,6495.0,-0.0076687492393003
2021-09-16,6500.0,0.0007695267790285
2021-09-17,6520.0,0.00307219903697
2021-09-20,6585.0,0.0099199592566828
2021-09-21,6490.0,-0.0145318044792457
2021-09-22,6555.0,0.0099655864996645
2021-09-23,6580.0,0.0038066281215627
2021-09-24,6585.0,0.0007595898580185
2021-09-27,6580.0,-0.0007595898580185
2021-09-28,6520.0,-0.0091603693986642
2021-09-29,6580.0,0.0091603693986641
2021-09-30,7000.0,0.0618754037180874
2021-10-01,6760.0,-0.0348872590004405
2021-10-04,6960.0,0.0291565842914554
2021-10-05,6945.0,-0.0021574981400212
2021-10-06,7180.0,0.0332774068538257
2021-10-07,7160.0,-0.0027894020875785
2021-10-08,7290.0,0.0179935650480124
2021-10-11,7255.0,-0.0048126596844155
2021-10-12,7320.0,0.0089194416370689
2021-10-13,7525.0,0.0276204826617191
2021-10-14,7750.0,0.0294620327303162
2021-10-15,7650.0,-0.0129871955268111
2021-10-18,7525.0,-0.016474837203505
2021-10-19,7500.0,-0.0033277900926746
2021-10-21,7400.0,-0.0134230203321406
2021-10-22,7525.0,0.0167508104248153
2021-10-25,7525.0,0.0
2021-10-26,7525.0,0.0
