Step,Forecast_Return,Forecast_Close_Price
1,0.000517550331440856,10330.343707172127
2,0.0004255763967043191,10334.740057623741
3,0.0004419225308396127,10339.307212105576
4,0.0004390174476296138,10343.846348368093
5,0.0004395337490252123,10348.392817932932
6,0.0004394419902076334,10352.940336268295
7,0.0004394582978933352,10357.490021806661
8,0.0004394553996368983,10362.041676723431
9,0.000439455914725103,10366.595337226896
10,0.00043945582318228454,10371.150997914416
11,0.00043945583945079886,10375.708660782275
12,0.00043945583656035056,10380.268326511705
13,0.00043945583707368993,10384.829996018181
14,0.0004394558369823845,10389.393670176001
15,0.00043945583699844457,10393.959349867235
16,0.00043945583699608534,10398.527035973033
17,0.0004394558369964323,10403.096729375156
18,0.0004394558369963837,10407.668430955719
19,0.00043945583699639065,10412.242141597226
20,0.00043945583699639065,10416.817862182572
21,0.00043945583699639065,10421.395593595036
22,0.00043945583699639065,10425.975336718291
23,0.00043945583699639065,10430.557092436393
24,0.00043945583699639065,10435.140861633789
25,0.00043945583699639065,10439.726645195313
26,0.00043945583699639065,10444.314444006191
27,0.00043945583699639065,10448.904258952036
28,0.00043945583699639065,10453.49609091885
29,0.00043945583699639065,10458.089940793025
30,0.00043945583699639065,10462.68580946134
31,0.00043945583699639065,10467.283697810968
32,0.00043945583699639065,10471.883606729469
33,0.00043945583699639065,10476.485537104794
34,0.00043945583699639065,10481.089489825285
35,0.00043945583699639065,10485.69546577967
36,0.00043945583699639065,10490.303465857074
37,0.00043945583699639065,10494.913490947009
38,0.00043945583699639065,10499.525541939378
39,0.00043945583699639065,10504.139619724476
40,0.00043945583699639065,10508.75572519299
41,0.00043945583699639065,10513.373859235997
42,0.00043945583699639065,10517.994022744964
43,0.00043945583699639065,10522.616216611754
