Date;Price;Price_number;Open;High;Low;Vol.;Change %
06/12/2021;7,35;7350;7,45;7,475;7,35;56.94M;-0.34%
07/12/2021;7,35;7350;7,45;7,475;7,35;51.26M;0.00%
08/12/2021;7,425;7425;7,45;7,475;7,4;74.78M;1.02%
09/12/2021;7,35;7350;7,4;7,45;7,35;54.89M;-1.01%
10/12/2021;7,375;7375;7,325;7,375;7,275;91.09M;0.34%
13/12/2021;7,3;7300;7,375;7,4;7,3;59.98M;-1.02%
14/12/2021;7,3;7300;7,3;7,375;7,275;49.76M;0.00%
15/12/2021;7,3;7300;7,3;7,375;7,275;52.48M;0.00%
16/12/2021;7,275;7275;7,375;7,4;7,275;95.17M;-0.34%
17/12/2021;7,5;7500;7,325;7,5;7,3;107.10M;3.09%
20/12/2021;7,375;7375;7,35;7,4;7,325;74.75M;-1.67%
21/12/2021;7,375;7375;7,325;7,4;7,325;52.39M;0.00%
22/12/2021;7,325;7325;7,425;7,425;7,325;33.23M;-0.68%
23/12/2021;7,3;7300;7,325;7,35;7,3;37.14M;-0.34%
24/12/2021;7,3;7300;7,3;7,35;7,3;30.80M;0.00%
27/12/2021;7,35;7350;7,3;7,35;7,3;20.72M;0.68%
28/12/2021;7,35;7350;7,375;7,4;7,325;39.34M;0.00%
29/12/2021;7,3;7300;7,35;7,375;7,3;42.08M;-0.68%
30/12/2021;7,3;7300;7,35;7,35;7,3;49.95M;0.00%
03/01/2022;7,325;7325;7,325;7,4;7,3;54.29M;0.34%
04/01/2022;7,4;7400;7,325;7,45;7,325;70.62M;1.02%
05/01/2022;7,45;7450;7,45;7,525;7,375;76.16M;0.68%
06/01/2022;7,475;7475;7,5;7,525;7,425;63.66M;0.34%
07/01/2022;7,65;7650;7,55;7,7;7,5;143.43M;2.34%
10/01/2022;7,6;7600;7,575;7,65;7,55;45.35M;-0.65%
11/01/2022;7,7;7700;7,65;7,7;7,625;110.33M;1.32%
12/01/2022;7,7;7700;7,7;7,7;7,65;62.61M;0.00%
13/01/2022;7,7;7700;7,7;7,75;7,65;50.03M;0.00%
14/01/2022;7,85;7850;7,7;7,85;7,65;65.90M;1.95%
17/01/2022;7,75;7750;7,9;7,9;7,7;63.90M;-1.27%
18/01/2022;7,675;7675;7,775;7,775;7,55;71.48M;-0.97%
19/01/2022;7,675;7675;7,65;7,725;7,575;60.39M;0.00%
20/01/2022;7,775;7775;7,725;7,775;7,625;59.93M;1.30%
21/01/2022;7,95;7950;7,775;7,95;7,7;63.37M;2.25%
24/01/2022;7,8;7800;7,825;7,85;7,775;40.28M;-1.89%
25/01/2022;7,775;7775;7,675;7,775;7,625;106.80M;-0.32%
26/01/2022;7,7;7700;7,7;7,75;7,65;53.35M;-0.96%
27/01/2022;7,8;7800;7,625;7,8;7,625;71.95M;1.30%
28/01/2022;7,775;7775;7,8;7,825;7,7;70.60M;-0.32%
31/01/2022;7,625;7625;7,775;7,775;7,625;68.12M;-1.93%
02/02/2022;7,8;7800;7,775;7,8;7,675;65.31M;2.30%
03/02/2022;7,725;7725;7,8;7,825;7,7;35.10M;-0.96%
04/02/2022;7,725;7725;7,75;7,8;7,7;39.32M;0.00%
07/02/2022;7,8;7800;7,775;7,8;7,7;56.81M;0.97%
08/02/2022;7,725;7725;7,75;7,85;7,725;61.88M;-0.96%
09/02/2022;7,95;7950;7,85;7,95;7,8;108.92M;2.91%
10/02/2022;7,75;7750;7,95;7,95;7,75;93.28M;-2.52%
11/02/2022;7,825;7825;7,675;7,825;7,65;71.97M;0.97%
14/02/2022;7,7;7700;7,75;7,775;7,7;57.71M;-1.60%
15/02/2022;7,875;7875;7,75;7,875;7,725;55.62M;2.27%
16/02/2022;7,975;7975;7,85;7,975;7,825;77.06M;1.27%
17/02/2022;7,9;7900;7,85;7,925;7,8;48.70M;-0.94%
18/02/2022;7,925;7925;7,95;7,95;7,85;56.81M;0.32%
21/02/2022;7,95;7950;7,925;7,975;7,9;43.82M;0.32%
22/02/2022;7,9;7900;7,9;7,95;7,85;80.10M;-0.63%
23/02/2022;8,05;8050;7,9;8,1;7,875;99.24M;1.90%
24/02/2022;8;8000;8,125;8,15;7,925;124.95M;-0.62%
25/02/2022;8,05;8050;7,95;8,175;7,925;135.90M;0.63%
01/03/2022;8,05;8050;8;8,175;8;136.62M;0.00%
02/03/2022;7,975;7975;8,225;8,225;7,975;100.30M;-0.93%
04/03/2022;7,9;7900;7,975;8,025;7,9;132.98M;-0.94%
07/03/2022;7,7;7700;7,8;7,85;7,7;130.99M;-2.53%
08/03/2022;7,65;7650;7,7;7,85;7,65;119.26M;-0.65%
09/03/2022;7,85;7850;7,7;7,95;7,65;132.81M;2.61%
10/03/2022;7,925;7925;7,925;7,975;7,8;86.48M;0.96%
11/03/2022;7,95;7950;7,725;7,95;7,725;61.05M;0.32%
14/03/2022;8,075;8075;8,05;8,1;7,95;78.43M;1.57%
15/03/2022;8,15;8150;8,15;8,2;8,075;111.21M;0.93%
16/03/2022;8,2;8200;8,275;8,275;8,075;149.76M;0.61%
17/03/2022;8;8000;8,3;8,3;8;132.44M;-2.44%
18/03/2022;7,9;7900;8;8,1;7,9;143.98M;-1.25%
21/03/2022;7,9;7900;7,8;7,95;7,8;85.49M;0.00%
22/03/2022;7,925;7925;7,9;7,95;7,875;60.01M;0.32%
23/03/2022;7,9;7900;7,925;7,95;7,825;82.21M;-0.32%
24/03/2022;7,925;7925;7,85;7,95;7,8;95.25M;0.32%
25/03/2022;7,95;7950;7,9;7,95;7,9;85.10M;0.32%
28/03/2022;7,9;7900;7,825;7,9;7,8;83.91M;-0.63%
29/03/2022;7,85;7850;7,875;7,9;7,825;62.18M;-0.63%
30/03/2022;7,875;7875;7,9;7,9;7,825;71.43M;0.32%
31/03/2022;7,975;7975;7,925;8;7,875;112.69M;1.27%
01/04/2022;7,925;7925;8,075;8,075;7,85;105.58M;-0.63%
04/04/2022;7,9;7900;7,925;7,925;7,825;57.32M;-0.32%
05/04/2022;7,9;7900;7,9;7,9;7,85;48.53M;0.00%
06/04/2022;7,75;7750;7,825;7,85;7,75;119.26M;-1.90%
07/04/2022;7,75;7750;7,725;7,825;7,7;68.62M;0.00%
08/04/2022;7,85;7850;7,8;7,875;7,775;69.79M;1.29%
11/04/2022;7,725;7725;7,825;7,875;7,725;62.78M;-1.59%
12/04/2022;7,8;7800;7,725;7,8;7,7;73.47M;0.97%
13/04/2022;7,8;7800;7,8;7,85;7,75;57.62M;0.00%
14/04/2022;7,7;7700;7,8;7,8;7,7;93.34M;-1.28%
18/04/2022;7,7;7700;7,7;7,725;7,625;68.46M;0.00%
19/04/2022;7,625;7625;7,7;7,7;7,625;98.63M;-0.97%
20/04/2022;7,65;7650;7,725;7,725;7,625;124.39M;0.33%
21/04/2022;7,925;7925;7,8;7,925;7,75;129.32M;3.59%
22/04/2022;7,875;7875;7,85;7,925;7,8;85.96M;-0.63%
25/04/2022;8;8000;7,875;8;7,825;91.28M;1.59%
26/04/2022;8,125;8125;7,925;8,125;7,925;128.36M;1.56%
27/04/2022;8,2;8200;8,075;8,2;8,075;89.46M;0.92%
28/04/2022;8,125;8125;8,25;8,25;8,075;133.73M;-0.91%
09/05/2022;7,6;7600;7,875;7,9;7,6;456.80M;-6.46%
10/05/2022;7,525;7525;7,25;7,6;7,25;268.45M;-0.99%
11/05/2022;7,65;7650;7,525;7,7;7,45;156.54M;1.66%
12/05/2022;7,275;7275;7,525;7,55;7,275;240.53M;-4.90%
13/05/2022;7,325;7325;7,25;7,475;7,25;212.97M;0.69%
17/05/2022;7,4;7400;7,275;7,475;7,275;159.66M;1.02%
18/05/2022;7,575;7575;7,5;7,575;7,375;153.51M;2.36%
19/05/2022;7,45;7450;7,4;7,475;7,375;140.91M;-1.65%
20/05/2022;7,4;7400;7,425;7,475;7,4;86.52M;-0.67%
23/05/2022;7,375;7375;7,45;7,475;7,35;71.60M;-0.34%
24/05/2022;7,35;7350;7,325;7,475;7,325;108.71M;-0.34%
25/05/2022;7,375;7375;7,4;7,45;7,35;76.75M;0.34%
27/05/2022;7,575;7575;7,525;7,575;7,475;84.34M;2.71%
30/05/2022;7,575;7575;7,575;7,6;7,475;105.41M;0.00%
31/05/2022;7,75;7750;7,6;7,75;7,525;286.29M;2.31%
02/06/2022;7,575;7575;7,625;7,675;7,525;149.23M;-2.26%
03/06/2022;7,6;7600;7,6;7,675;7,575;80.56M;0.33%
06/06/2022;7,45;7450;7,55;7,575;7,425;81.14M;-1.97%
07/06/2022;7,375;7375;7,3;7,475;7,3;129.24M;-1.01%
08/06/2022;7,6;7600;7,5;7,6;7,425;108.91M;3.05%
09/06/2022;7,5;7500;7,5;7,575;7,5;107.83M;-1.32%
10/06/2022;7,35;7350;7,4;7,45;7,35;111.77M;-2.00%
13/06/2022;7,35;7350;7,3;7,4;7,275;85.54M;0.00%
14/06/2022;7,4;7400;7,3;7,4;7,25;80.87M;0.68%
15/06/2022;7,325;7325;7,3;7,375;7,3;130.37M;-1.01%
16/06/2022;7,575;7575;7,4;7,6;7,375;132.67M;3.41%
17/06/2022;7,5;7500;7,425;7,55;7,425;117.84M;-0.99%
20/06/2022;7,625;7625;7,6;7,65;7,5;88.14M;1.67%
21/06/2022;7,65;7650;7,6;7,65;7,55;44.30M;0.33%
22/06/2022;7,5;7500;7,625;7,65;7,5;53.04M;-1.96%
23/06/2022;7,525;7525;7,45;7,575;7,45;60.44M;0.33%
24/06/2022;7,475;7475;7,6;7,6;7,475;57.96M;-0.66%
27/06/2022;7,35;7350;7,475;7,5;7,35;77.94M;-1.67%
28/06/2022;7,3;7300;7,3;7,4;7,3;119.22M;-0.68%
29/06/2022;7,275;7275;7,325;7,4;7,275;75.32M;-0.34%
30/06/2022;7,25;7250;7,3;7,4;7,25;101.34M;-0.34%
01/07/2022;7,25;7250;7,3;7,325;7,25;68.74M;0.00%
04/07/2022;7,05;7050;7,25;7,275;7;102.24M;-2.76%
05/07/2022;7,25;7250;7,1;7,325;7,1;69.17M;2.84%
06/07/2022;7,3;7300;7,3;7,325;7,175;66.80M;0.69%
07/07/2022;7,1;7100;7,225;7,25;7,1;86.13M;-2.74%
08/07/2022;7,15;7150;7,125;7,175;7,075;64.31M;0.70%
11/07/2022;7,125;7125;7,2;7,2;7,125;36.83M;-0.35%
12/07/2022;7,175;7175;7,175;7,25;7,15;34.27M;0.70%
13/07/2022;7;7000;7,1;7,125;7;71.99M;-2.44%
14/07/2022;7,025;7025;7,025;7,1;7;83.32M;0.36%
15/07/2022;7;7000;7,1;7,1;7;57.42M;-0.36%
18/07/2022;7,15;7150;7,025;7,15;7,025;60.08M;2.14%
19/07/2022;7,175;7175;7,1;7,175;7,1;59.64M;0.35%
20/07/2022;7,4;7400;7,2;7,4;7,175;105.79M;3.14%
21/07/2022;7,4;7400;7,4;7,4;7,25;64.34M;0.00%
22/07/2022;7,325;7325;7,4;7,4;7,3;38.96M;-1.01%
25/07/2022;7,3;7300;7,35;7,375;7,3;31.25M;-0.34%
26/07/2022;7,3;7300;7,25;7,375;7,25;44.38M;0.00%
27/07/2022;7,325;7325;7,325;7,35;7,275;58.47M;0.34%
28/07/2022;7,35;7350;7,375;7,45;7,325;86.91M;0.34%
29/07/2022;7,35;7350;7,4;7,475;7,35;131.55M;0.00%
01/08/2022;7,5;7500;7,35;7,5;7,35;104.84M;2.04%
02/08/2022;7,6;7600;7,6;7,625;7,5;106.47M;1.33%
03/08/2022;7,625;7625;7,625;7,625;7,575;65.10M;0.33%
04/08/2022;7,8;7800;7,675;7,8;7,65;144.10M;2.30%
05/08/2022;7,875;7875;7,825;7,875;7,725;118.73M;0.96%
08/08/2022;7,875;7875;7,875;7,925;7,75;84.33M;0.00%
09/08/2022;7,9;7900;7,875;7,975;7,875;92.88M;0.32%
10/08/2022;7,9;7900;7,8;7,9;7,725;104.38M;0.00%
11/08/2022;7,95;7950;7,85;7,95;7,825;73.20M;0.63%
12/08/2022;7,925;7925;7,925;7,975;7,85;61.08M;-0.31%
15/08/2022;7,95;7950;7,95;7,975;7,9;81.41M;0.32%
16/08/2022;7,975;7975;7,95;7,975;7,85;83.56M;0.31%
18/08/2022;8;8000;7,9;8,025;7,875;86.14M;0.31%
19/08/2022;7,9;7900;8,05;8,05;7,9;58.19M;-1.25%
22/08/2022;8;8000;7,85;8;7,825;97.29M;1.27%
23/08/2022;7,9;7900;8;8;7,9;71.67M;-1.25%
24/08/2022;7,95;7950;7,95;8,025;7,9;108.89M;0.63%
25/08/2022;8,075;8075;8;8,1;7,9;99.50M;1.57%
26/08/2022;8;8000;8,025;8,125;8;80.47M;-0.93%
29/08/2022;8,15;8150;8;8,15;7,95;72.12M;1.88%
